Flag	Country	Currency	Code ISO 4217	Symbol	Hex Symbol
Albania flag	Albania	Lek	ALL	Lek	4c, 65, 6b
Afghanistan flag	Afghanistan	Afghani	AFN	؋	60b
Argentina flag	Argentina	Peso	ARS	$	24
Aruba flag	Aruba	Guilder	AWG	ƒ	192
Australia flag	Australia	Dollar	AUD	$	24
Azerbaijan flag	Azerbaijan	Manat	AZN	ман	43c, 430, 43d
Bahamas flag	Bahamas	Dollar	BSD	$	24
Barbados flag	Barbados	Dollar	BBD	$	24
Belarus flag	Belarus	Ruble	BYR	p.	70, 2e
Belize flag	Belize	Dollar	BZD	BZ$	42, 5a, 24
Bermuda flag	Bermuda	Dollar	BMD	$	24
Bolivia flag	Bolivia	Boliviano	BOB	$b	24, 62
Bosnia and Herzegovina flag	Bosnia and Herzegovina	Convertible Marka	BAM	KM	4b, 4d
Botswana flag	Botswana	Pula	BWP	P	50
Bulgaria flag	Bulgaria	Lev	BGN	лв	43b, 432
Brazil flag	Brazil	Real	BRL	R$	52, 24
Brunei flag	Brunei	Darussalam Dollar	BND	$	24
Cambodia flag	Cambodia	Riel	KHR	៛	17db
Canada flag	Canada	Dollar	CAD	$	24
Cayman Island flag	Cayman	Dollar	KYD	$	24
Chile flag	Chile	Peso	CLP	$	24
China flag	China	Yuan Renminbi	CNY	¥	a5
Colombia flag	Colombia	Peso	COP	$	24
Costa Rica flag	Costa Rica	Colon	CRC	₡	20a1
Croatia flag	Croatia	Kuna	HRK	kn	6b, 6e
Cuba flag	Cuba	Peso	CUP	₱	20b1
Czech Republic flag	Czech Republic	Koruna	CZK	Kč	4b, 10d
Denmark flag	Denmark	Krone	DKK	kr	6b, 72
Dominican Republic flag	Dominican Republic	Peso	DOP	RD$	52, 44, 24
No flag	East Caribbean	Dollar	XCD	$	24
Egypt flag	Egypt	Pound	EGP	£	a3
El Salvador flag	El Salvador	Colon	SVC	$	24
Estonia flag	Estonia	Kroon	EEK	kr	6b, 72
Euro flag	Euro Member	Euro	EUR	€	20ac
Falkland Islands flag	Falkland Islands	Pound	FKP	£	a3
Fiji flag	Fiji	Dollar	FJD	$	24
Ghana flag	Ghana	Cedis	GHC	¢	a2
Gibraltar flag	Gibraltar	Pound	GIP	£	a3
Guatemala flag	Guatemala	Quetzal	GTQ	Q	51
Guernsey flag	Guernsey	Pound	GGP	£	a3
Guyana flag	Guyana	Dollar	GYD	$	24
Honduras flag	Honduras	Lempira	HNL	L	4c
Hong Kong flag	Hong Kong	Dollar	HKD	$	24
Hungary flag	Hungary	Forint	HUF	Ft	46, 74
Iceland flag	Iceland	Krona	ISK	kr	6b, 72
India flag	India	Rupee	INR	₹	20B9
Indonesia flag	Indonesia	Rupiah	IDR	Rp	52, 70
Iran flag	Iran	Rial	IRR	﷼	fdfc
Isle of Man flag	Isle of Man	Pound	IMP	£	a3
Israel flag	Israel	Shekel	ILS	₪	20aa
Jamaica flag	Jamaica	Dollar	JMD	J$	4a, 24
Japan flag	Japan	Yen	JPY	¥	a5
Jersey flag	Jersey	Pound	JEP	£	a3
Kazakhstan flag	Kazakhstan	Tenge	KZT	лв	43b, 432
Korea (North) flag	Korea (North)	Won	KPW	₩	20a9
Korea (South) flag	Korea (South)	Won	KRW	₩	20a9
Kyrgyzstan flag	Kyrgyzstan	Som	KGS	лв	43b, 432
Laos flag	Laos	Kip	LAK	₭	20ad
Latvia flag	Latvia	Lat	LVL	Ls	4c, 73
Lebanon flag	Lebanon	Pound	LBP	£	a3
Liberia flag	Liberia	Dollar	LRD	$	24
Lithuania flag	Lithuania	Litas	LTL	Lt	4c, 74
Macedonia flag	Macedonia	Denar	MKD	ден	434, 435, 43d
Malaysia flag	Malaysia	Ringgit	MYR	RM	52, 4d
Mauritius flag	Mauritius	Rupee	MUR	₨	20a8
Mexico flag	Mexico	Peso	MXN	$	24
Mongolia flag	Mongolia	Tughrik	MNT	₮	20ae
Mozambique flag	Mozambique	Metical	MZN	MT	4d, 54
Namibia flag	Namibia	Dollar	NAD	$	24
Nepal flag	Nepal	Rupee	NPR	₨	20a8
Netherlands flag	Netherlands	Antilles Guilder	ANG	ƒ	192
New Zealand flag	New Zealand	Dollar	NZD	$	24
Nicaragua flag	Nicaragua	Cordoba	NIO	C$	43, 24
Nigeria flag	Nigeria	Naira	NGN	₦	20a6
Norway flag	Norway	Krone	NOK	kr	6b, 72
Oman flag	Oman	Rial	OMR	﷼	fdfc
Pakistan flag	Pakistan	Rupee	PKR	₨	20a8
Panama flag	Panama	Balboa	PAB	B/.	42, 2f, 2e
Paraguay flag	Paraguay	Guarani	PYG	Gs	47, 73
Peru flag	Peru	Nuevo Sol	PEN	S/.	53, 2f, 2e
Philippines flag	Philippines	Peso	PHP	₱	20b1
Poland flag	Poland	Zloty	PLN	zł	7a, 142
Qatar flag	Qatar	Riyal	QAR	﷼	fdfc
Romania flag	Romania	New Leu	RON	lei	6c, 65, 69
Russia flag	Russia	Ruble	RUB	руб	440, 443, 431
Saint Helena flag	Saint Helena	Pound	SHP	£	a3
Saudi Arabia flag	Saudi Arabia	Riyal	SAR	﷼	fdfc
Serbia flag	Serbia	Dinar	RSD	Дин.	414, 438, 43d, 2e
Seychelles flag	Seychelles	Rupee	SCR	₨	20a8
Singapore flag	Singapore	Dollar	SGD	$	24
Solomon Islands flag	Solomon Islands	Dollar	SBD	$	24
Somalia flag	Somalia	Shilling	SOS	S	53
South Africa flag	South Africa	Rand	ZAR	S	52
Sri Lanka flag	Sri Lanka	Rupee	LKR	₨	20a8
Sweden flag	Sweden	Krona	SEK	kr	6b, 72
Switzerland flag	Switzerland	Franc	CHF	CHF	43, 48, 46
Suriname flag	Suriname	Dollar	SRD	$	24
Syria flag	Syria	Pound	SYP	£	a3
Taiwan flag	Taiwan	New Dollar	TWD	NT$	4e, 54, 24
Thailand flag	Thailand	Baht	THB	฿	e3f
Trinidad and Tobago flag	Trinidad and Tobago	Dollar	TTD	TT$	54, 54, 24
Turkey flag	Turkey	Lira	TRL	₤	20a4
Tuvalu flag	Tuvalu	Dollar	TVD	$	24
Ukraine flag	Ukraine	Hryvna	UAH	₴	20b4
United Kingdom flag	United Kingdom	Pound	GBP	£	a3
United States flag	United States	Dollar	USD	$	24
Uruguay flag	Uruguay	Peso	UYU	$U	24, 55
Uzbekistan flag	Uzbekistan	Som	UZS	лв	43b, 432
Venezuela flag	Venezuela	Bolivar Fuerte	VEF	Bs	42, 73
Viet Nam flag	Viet Nam	Dong	VND	₫	20ab
Yemen flag	Yemen	Rial	YER	﷼	fdfc
Zimbabwe flag	Zimbabwe	Dollar	ZWD	Z$	5a, 24
